Country,category,term_frequency,TopicShare,TopicShare_pct
Georgia,Governance and planning,90,0.9090909090909092,90.909
Georgia,Health and vulnerability,1,0.0101010101010101,1.01
Georgia,Household behaviour and adoption,2,0.0202020202020202,2.02
Georgia,Housing and thermal comfort,1,0.0101010101010101,1.01
Georgia,Welfare and care,5,0.0505050505050505,5.051
Germany,Affordability and income constraints,180,0.0269622528460155,2.696
Germany,Energy transition and efficiency,237,0.0355002995805871,3.55
Germany,Governance and planning,5256,0.7872977831036548,78.73
Germany,Health and vulnerability,232,0.0347513481126423,3.475
Germany,Household behaviour and adoption,177,0.0265128819652486,2.651
Germany,Housing and thermal comfort,184,0.0275614140203714,2.756
Germany,Welfare and care,410,0.0614140203714799,6.141
Ghana,Affordability and income constraints,1,0.0011185682326621,0.112
Ghana,Energy transition and efficiency,2,0.0022371364653243,0.224
Ghana,Governance and planning,793,0.8870246085011185,88.702
Ghana,Health and vulnerability,43,0.0480984340044742,4.81
Ghana,Household behaviour and adoption,1,0.0011185682326621,0.112
Ghana,Housing and thermal comfort,20,0.0223713646532438,2.237
Ghana,Welfare and care,34,0.0380313199105145,3.803
Greece,Energy transition and efficiency,2,0.0074349442379182,0.743
Greece,Governance and planning,252,0.9368029739776952,93.68
Greece,Household behaviour and adoption,2,0.0074349442379182,0.743
Greece,Housing and thermal comfort,7,0.0260223048327137,2.602
Greece,Welfare and care,6,0.0223048327137546,2.23
Guatemala,Governance and planning,10,0.7692307692307693,76.923
Guatemala,Welfare and care,3,0.2307692307692307,23.077
Guinea,Governance and planning,11,0.7857142857142857,78.571
Guinea,Housing and thermal comfort,1,0.0714285714285714,7.143
Guinea,Welfare and care,2,0.1428571428571428,14.286
Guyana,Affordability and income constraints,4,0.0206185567010309,2.062
Guyana,Energy transition and efficiency,2,0.0103092783505154,1.031
Guyana,Governance and planning,171,0.8814432989690721,88.144
Guyana,Health and vulnerability,9,0.0463917525773195,4.639
Guyana,Household behaviour and adoption,3,0.0154639175257731,1.546
Guyana,Housing and thermal comfort,2,0.0103092783505154,1.031
Guyana,Welfare and care,3,0.0154639175257731,1.546
Haiti,Governance and planning,8,1.0,100.0
Hungary,Affordability and income constraints,5,0.0147492625368731,1.475
Hungary,Energy transition and efficiency,3,0.0088495575221238,0.885
Hungary,Governance and planning,308,0.9085545722713864,90.855
Hungary,Health and vulnerability,1,0.0029498525073746,0.295
Hungary,Household behaviour and adoption,4,0.0117994100294985,1.18
Hungary,Housing and thermal comfort,6,0.0176991150442477,1.77
Hungary,Welfare and care,12,0.0353982300884955,3.54
IGO,Affordability and income constraints,3951,0.0188177804449397,1.882
IGO,Energy transition and efficiency,3079,0.0146646281928548,1.466
IGO,Governance and planning,175339,0.8351027095508213,83.51
IGO,Health and vulnerability,8391,0.0399645648477574,3.996
IGO,Household behaviour and adoption,3470,0.0165268788013011,1.653
IGO,Housing and thermal comfort,4688,0.0223279561442363,2.233
IGO,Welfare and care,11043,0.052595482018089,5.26
Iceland,Affordability and income constraints,2,0.0571428571428571,5.714
Iceland,Governance and planning,30,0.8571428571428571,85.714
Iceland,Health and vulnerability,1,0.0285714285714285,2.857
Iceland,Household behaviour and adoption,1,0.0285714285714285,2.857
Iceland,Welfare and care,1,0.0285714285714285,2.857
India,Affordability and income constraints,38,0.0187376725838264,1.874
India,Energy transition and efficiency,36,0.0177514792899408,1.775
India,Governance and planning,1725,0.8505917159763313,85.059
India,Health and vulnerability,74,0.0364891518737672,3.649
India,Household behaviour and adoption,37,0.0182445759368836,1.824
India,Housing and thermal comfort,50,0.02465483234714,2.465
India,Welfare and care,68,0.0335305719921104,3.353
Indonesia,Affordability and income constraints,32,0.0695652173913043,6.957
Indonesia,Energy transition and efficiency,25,0.0543478260869565,5.435
Indonesia,Governance and planning,346,0.7521739130434782,75.217
Indonesia,Health and vulnerability,10,0.0217391304347826,2.174
Indonesia,Household behaviour and adoption,5,0.0108695652173913,1.087
Indonesia,Housing and thermal comfort,16,0.0347826086956521,3.478
Indonesia,Welfare and care,26,0.0565217391304347,5.652
Iran,Energy transition and efficiency,3,0.2307692307692307,23.077
Iran,Governance and planning,9,0.6923076923076923,69.231
Iran,Housing and thermal comfort,1,0.0769230769230769,7.692
Iraq,Governance and planning,28,0.7368421052631579,73.684
Iraq,Health and vulnerability,4,0.1052631578947368,10.526
Iraq,Welfare and care,6,0.1578947368421052,15.789
Ireland,Affordability and income constraints,229,0.0132438841015557,1.324
Ireland,Energy transition and efficiency,276,0.0159620611879012,1.596
Ireland,Governance and planning,14150,0.8183448036550807,81.834
Ireland,Health and vulnerability,534,0.0308831183852871,3.088
Ireland,Household behaviour and adoption,235,0.0135908854317274,1.359
Ireland,Housing and thermal comfort,594,0.0343531316870048,3.435
Ireland,Welfare and care,1273,0.0736221155514429,7.362
Israel,Affordability and income constraints,6,0.0983606557377049,9.836
Israel,Energy transition and efficiency,3,0.0491803278688524,4.918
Israel,Governance and planning,38,0.6229508196721312,62.295
Israel,Health and vulnerability,4,0.0655737704918032,6.557
Israel,Household behaviour and adoption,2,0.0327868852459016,3.279
Israel,Housing and thermal comfort,2,0.0327868852459016,3.279
Israel,Welfare and care,6,0.0983606557377049,9.836
Italy,Affordability and income constraints,7,0.005595523581135,0.56
Italy,Energy transition and efficiency,50,0.0399680255795363,3.997
Italy,Governance and planning,1039,0.8305355715427658,83.054
