year,sdg,doc_concentration_value
2016,11,0.1844491842260183
2016,12,0.2755543537047053
2016,13,0.305343002567452
2016,14,0.3790269559500329
2016,15,0.3314437688072021
2016,16,0.1728919805930378
2016,17,0.4167319330722677
2017,1,0.2136589930089683
2017,2,0.2520374402904747
2017,3,0.21127552
2017,4,0.1952460926450138
2017,5,0.251283916330534
2017,6,0.2130681818181818
2017,7,0.1774299730297947
2017,8,0.1697055030069171
2017,9,0.1411277822555645
2017,10,0.1896632726665453
2017,11,0.2313810256197087
2017,12,0.1741943359375
2017,13,0.1994493767077212
2017,14,0.2757396449704142
2017,15,0.1778879706152433
2017,16,0.1941616653990491
2017,17,0.3895578623606306
2018,1,0.1912694105495352
2018,2,0.1920730915017393
2018,3,0.1928684090819192
2018,4,0.1707020806805302
2018,5,0.2054471530689118
2018,6,0.1233043743331809
2018,7,0.1687686414631561
2018,8,0.1567444898105583
2018,9,0.1219005732492749
2018,10,0.1842705953880586
2018,11,0.240833087853666
2018,12,0.1899130707181455
2018,13,0.1861955213599262
2018,14,0.1573621184010794
2018,15,0.1812644402436463
2018,16,0.1767486303535209
2018,17,0.3436538741177391
2019,1,0.211123632958207
2019,2,0.2229776413466301
2019,3,0.2023030368180597
2019,4,0.1863367421475529
2019,5,0.2050215605151215
2019,6,0.191007885988581
2019,7,0.1654085628555445
2019,8,0.1660492420772847
2019,9,0.1428727006938496
2019,10,0.1626082374691239
2019,11,0.2147261753946651
2019,12,0.2467816775728733
2019,13,0.1550543291271989
2019,14,0.2251241788174972
2019,15,0.1972732449914576
2019,16,0.1831958358908204
2019,17,0.3598117570692522
2020,1,0.2285843674488401
2020,2,0.2334521774912969
2020,3,0.1933204750668847
2020,4,0.1796318379422775
2020,5,0.1767418032786885
2020,6,0.1599157534873783
2020,7,0.1580467959237822
2020,8,0.1632836467863957
2020,9,0.1317123982346975
2020,10,0.1681054627287815
2020,11,0.2343676574828567
2020,12,0.1882086167800453
2020,13,0.1741338101792044
2020,14,0.1891289819558922
2020,15,0.1556774645577735
2020,16,0.1737936782381553
2020,17,0.354581673306773
2021,1,0.2067418767019513
2021,2,0.2496744791666667
2021,3,0.1833710553055596
2021,4,0.161694611526061
2021,5,0.2141364744356463
2021,6,0.1291505754041413
2021,7,0.1700679040289724
2021,8,0.1533982590365493
2021,9,0.1431501393490234
2021,10,0.1694375485243796
2021,11,0.2099536082968302
2021,12,0.1568014929611749
2021,13,0.1630962584068478
2021,14,0.2037294187661178
2021,15,0.1098022196044392
2021,16,0.1527738404841433
2021,17,0.3220381144539186
2022,1,0.2299260970134719
2022,2,0.2648318845787095
2022,3,0.1856279372196299
2022,4,0.1889070499290786
2022,5,0.1988776703156553
2022,6,0.2095617990519135
2022,7,0.1643595046059178
2022,8,0.1773624741735537
2022,9,0.1435035642682112
2022,10,0.182545556438816
2022,11,0.1980436586563701
2022,12,0.1495061728395062
2022,13,0.1847200528820535
2022,14,0.167658193618172
2022,15,0.2005645795733259
2022,16,0.1645850234441664
2022,17,0.3330406213568715
2023,1,0.1864314491830375
2023,2,0.2658718355476238
2023,3,0.19030558230952
2023,4,0.1483692140257797
2023,5,0.2227690972222221
2023,6,0.1655814604774907
2023,7,0.1717460980692895
2023,8,0.1492919623043318
2023,9,0.1377105063807471
2023,10,0.1578177723260069
2023,11,0.230062032011518
2023,12,0.1546103395061728
2023,13,0.175661602807725
2023,14,0.1394444444444444
2023,15,0.1386593204775023
2023,16,0.1658918062471707
2023,17,0.3207085729393879
2024,1,0.1938076542500559
2024,2,0.2876078095463138
2024,3,0.1787846558259211
2024,4,0.1612206420357352
2024,5,0.2131377556868984
2024,6,0.1885088281568673
2024,7,0.1695185460729089
2024,8,0.1674979828897983
2024,9,0.1482091534838787
2024,10,0.1732658455341851
2024,11,0.2342143812765669
2024,12,0.2334558823529412
2024,13,0.1794056542271448
2024,14,0.2882639264467279
2024,15,0.1915477672444061
2024,16,0.1595988409963837
2024,17,0.3114149305555555
